module_key,module_name,category,source_template_file,demo_persona,capabilities,demo_actions,data_needed,linked_outputs,client_talk_track,demo_readiness_status
platform-admin,Platform Admin,Governance,01_platform_clients.csv|02_platform_plants.csv|03_platform_users.csv|04_module_entitlements.csv,Super Admin,Client onboarding|Plant setup|User access governance|Module enablement|Audit visibility,Create client|Assign modules|Assign users|Review audit trail|Export setup data,"Client, plant, user, role, module entitlement, subscription, and audit records",Platform Management Services|Client selector|Admin workspace|Audit activity,"Show how a new manufacturer is onboarded, scoped, governed, and made ready for data imports.",Ready
planning,Planning,Operations,05_planning.csv,Planning Manager,Demand planning|Capacity planning|Material planning|Workforce planning|Shortage visibility,Filter by plant|Review demand vs production|Open shortage risk|Assign planning follow-up,"Forecasts, production plans, capacity hours, workforce hours, material shortage exceptions",Forecast demand|Planned production|Material shortages|Capacity utilization|Planning accuracy,"Explain how planning connects demand, materials, people, and capacity before work is released.",Ready
inventory,Inventory,Operations,06_inventory.csv,Inventory Manager,Available stock|Batch and serial tracking|Reservations|Aging and expiry|Reorder risk,Search item|Filter warehouse|Review low stock|Open batch details|Download stock records,"Item master, batch, serial, stock status, quantities, cost, bin, supplier, production links",Inventory dashboard|Backend records|Stockout risk|Inventory health|Data Hub mapping,Show physical and system inventory alignment from supplier receipt through production usage.,Ready
warehouse,Warehouse,Operations,07_warehouse.csv,Warehouse Lead,Receiving|Putaway|Bin occupancy|Picking|Packing|Dispatch readiness,Filter warehouse|Review tasks|Open bin utilization|Check congested locations|Track movement,"Location hierarchy, bin capacity, occupancy, movement type, task owner, scan reference",Warehouse control tower|Open warehouse tasks|Bin utilization|Dispatch readiness,Walk through how goods move from inbound dock to exact bin and outbound shipment.,Ready
production,Production,Operations,08_production.csv,Production Manager,Production orders|BOM and routing|Line scheduling|Output tracking|Downtime and scrap,Open order|Review line status|Check material availability|Compare planned vs actual output,"Production order, BOM, routing, work center, planned/actual quantities, downtime, scrap",Production dashboard|Schedule adherence|Open production risks|Quality and inventory links,Show how planning and inventory data become executable shop-floor work.,Ready
maintenance,Maintenance,Operations,09_maintenance.csv,Maintenance Manager,Asset health|Preventive maintenance|Work orders|Spare part linkage|Downtime risk,Open asset|Review work order|Check spare availability|Escalate overdue maintenance,"Asset, work order, maintenance type, priority, failure code, downtime, spare part, technician",Maintenance dashboard|Open work orders|Asset health score|Production downtime impact,Connect equipment reliability to production continuity and spare-parts readiness.,Ready
quality,Quality,Operations,10_quality.csv,Quality Manager,Inspection lots|Defect tracking|Disposition|Supplier quality|CAPA follow-up,Review failed lot|Open defect reason|Trace supplier batch|Approve or reject disposition,"Inspection lot, sample size, passed/failed counts, defect code, disposition, CAPA reference",Quality dashboard|Rejected stock|Supplier performance|Compliance evidence,"Show traceability from incoming material through inspection, rejection, and corrective action.",Ready
procurement,Procurement,Operations,11_procurement.csv,Procurement Manager,Purchase requests|Purchase orders|Supplier lead time|Approval status|Goods receipt linkage,Open purchase request|Review supplier priority|Check overdue PO|Link receipt to inventory,"Requisition, purchase order, supplier, lead time, price, approval status, expected receipt",Procurement dashboard|Inventory reorder risk|Supplier performance|Goods receipt,Explain how shortages become controlled purchasing recommendations and approved orders.,Ready
sales,Sales & Distribution,Commercial,12_sales.csv,Sales Manager,Sales orders|Customer demand|Delivery promise|Order status|Revenue context,Open customer order|Check available stock|Review delivery risk|Trace order to production,"Customer, sales order, line item, ordered quantity, promised date, delivery status, margin",Sales dashboard|Demand planning|Inventory reservation|Dispatch readiness,"Show how customer demand flows into planning, production, inventory, and delivery.",Ready
costing,Costing & Profitability,Finance,13_costing.csv,Finance Controller,Product cost|Variance analysis|Margin view|Wastage cost|Profitability impact,Review cost object|Compare standard vs actual|Open variance driver|Export finance view,"Cost object, cost center, standard cost, actual cost, variance, margin, currency, period",Costing dashboard|Business impact|Inventory valuation|Production variance,Keep finance views executive-only and connect operational waste to measurable financial impact.,Ready
compliance,Compliance,Governance,14_compliance.csv,Compliance Officer,Regulatory obligations|Evidence tracking|Audit findings|Risk score|Corrective actions,Open compliance control|Review evidence|Track overdue finding|Export audit-ready record,"Regulation, control, evidence document, finding, severity, owner, due date, closure status",Compliance dashboard|Audit activity|Document management|Quality CAPA,Show how regulated manufacturers prove control execution and retain evidence.,Ready
customer-portal,Customer Portal,Portal,15_customer_portal.csv,Customer Service Lead,Customer self-service|Order visibility|Shipment status|Case tracking|SLA monitoring,Open portal account|Review customer case|Trace order status|Check SLA risk,"Portal user, customer account, order, shipment, case, SLA, customer-visible status",Customer portal|Sales order status|Dispatch readiness|Support metrics,Show how external customers get controlled visibility without exposing internal data.,Ready
