file_name,module,category,description,column_count,required_linking_columns
01_platform_clients.csv,Platform Admin,Master Data,Client master data used to create companies and tenant context.,17,tenant_id|client_id|client_code|client_name
02_platform_plants.csv,Platform Admin,Master Data,Plant master data linked to client records and operational modules.,17,tenant_id|client_id|client_code|plant_id|plant_code|plant_name
03_platform_users.csv,Platform Admin,User Access,"User import template with role, application, module, and plant scope.",21,tenant_id|client_id|client_code|plant_id
04_module_entitlements.csv,Platform Admin,Access Control,"Company-level module enablement, independent from user data visibility.",11,tenant_id|client_id|client_code|module_key
05_planning.csv,Planning,Operations,"Demand, supply, capacity, workforce, and material planning records.",38,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
06_inventory.csv,Inventory,Operations,"Stock, batch, serial, reservation, valuation, and location records.",45,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
07_warehouse.csv,Warehouse,Operations,"Warehouse location, occupancy, movement, task, and scanning data.",40,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
08_production.csv,Production,Operations,"Production orders, work centers, WIP, output, scrap, and line status.",41,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
09_maintenance.csv,Maintenance,Operations,"Asset reliability, work orders, downtime, spares, and maintenance cost.",40,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
10_quality.csv,Quality,Operations,"Inspection, defects, quarantine, rejection, CAPA, and supplier quality data.",38,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
11_procurement.csv,Procurement,Operations,"Purchase requests, orders, supplier lead times, receipts, and approvals.",39,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
12_sales.csv,Sales & Distribution,Commercial,"Customer orders, fulfillment, shipment, invoicing, and demand links.",38,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
13_costing.csv,Costing & Profitability,Finance,"Cost object, variance, valuation, profitability, and financial impact data.",39,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
14_compliance.csv,Compliance,Governance,"Controls, findings, evidence, audit trail, and corrective action data.",35,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
15_customer_portal.csv,Customer Portal,Portal,"Customer requests, order questions, shipment issues, and support records.",34,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
16_supplier_portal.csv,Supplier Portal,Portal,"Supplier collaboration, purchase order updates, ASN, and supplier quality issues.",34,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
17_reports_analytics.csv,Reports & Analytics,Analytics,"Report, dashboard, KPI, dataset, refresh, and export metadata.",34,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
18_document_management.csv,Document Management,Documents,"Controlled documents linked to modules, entities, approvals, and retention rules.",32,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
19_manufacturing_data_hub.csv,Manufacturing Data Hub,Data Hub,"Connector, catalog, field mapping, transform, quality, and AI readiness metadata.",34,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
20_integration_hub.csv,Integration Hub,Integration,"System-to-system connector status, schedules, sync direction, errors, and ownership.",36,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status|source_system
21_ai_intelligence.csv,AI Intelligence,Intelligence,"AI signal, prediction, risk, recommendation, and human approval metadata.",35,tenant_id|client_id|client_code|client_name|plant_id|plant_code|plant_name|module_key|source_system|source_record_id|record_status
